A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW
0.056295118,0.061489314,0.064755364,0.066006063,0.065156991,0.062126823,0.056837639,0.049215226,0.039189377,0.026694186,0.011668327,-0.005944669,-0.026196143,-0.049132065,-0.07479278,-0.10321279,-0.134420536,-0.168438197,-0.205281516,-0.244959631,-0.287474928,-0.332822921,-0.38099214,-0.431964048,-0.485712976,-0.54220608,-0.601403324,-0.663257478,-0.727714145,-0.794711811,-0.864181916,-0.936048949,-1.010230565,-1.086637729,-1.165174878,-1.245740108,-1.328225383,-1.412516764,-1.49849466,-1.586034097,-1.675005011,-1.765272553,-1.856697414,-1.949136171,-2.042441636,-2.136463236,-2.231047388,-2.326037897,-2.421276363
0.040059664,0.020635661,-0.000228866,-0.022544028,-0.046317332,-0.071553621,-0.09825502,-0.126420876,-0.156047724,-0.187129243,-0.219656225,-0.253616553,-0.288995185,-0.325774142,-0.363932506,-0.403446428,-0.444289138,-0.486430967,-0.529839376,-0.574478988,-0.620311636,-0.667296411,-0.715389722,-0.764545359,-0.814714568,-0.865846129,-0.917886444,-0.970779631,-1.024467621,-1.078890266,-1.13398545,-1.189689205,-1.245935836,-1.302658049,-1.35978708,-1.417252834,-1.474984024,-1.532908316,-1.590952477,-1.649042522,-1.707103869,-1.76506149,-1.822840068,-1.880364153,-1.93755832,-1.994347325,-2.050656258,-2.106410708,-2.161536906
-0.039237875,-0.037725684,-0.036796761,-0.036576577,-0.037196187,-0.038791621,-0.0415032,-0.045474786,-0.050852974,-0.057786223,-0.066423924,-0.076915435,-0.08940906,-0.104050995,-0.120984251,-0.140347546,-0.162274188,-0.186890959,-0.214316987,-0.244662653,-0.278028496,-0.314504169,-0.354167426,-0.397083157,-0.443302489,-0.492861948,-0.545782695,-0.602069855,-0.661711924,-0.724680284,-0.790928812,-0.860393603,-0.932992809,-1.008626581,-1.087177148,-1.168509001,-1.252469207,-1.338887842,-1.427578542,-1.518339174,-1.610952617,-1.705187656,-1.800799982,-1.897533282,-1.995120427,-2.093284746,-2.191741363,-2.290198614,-2.388359504
0.004848979,0.030780168,0.053674669,0.073130078,0.088760382,0.100200572,0.107111138,0.10918238,0.106138486,0.097741296,0.083793722,0.064142746,0.038681972,0.007353674,-0.029849689,-0.072884505,-0.121655628,-0.176016577,-0.235770324,-0.300670665,-0.37042415,-0.444692564,-0.523095906,-0.60521585,-0.690599627,-0.778764278,-0.869201229,-0.961381124,-1.054758845,-1.148778673,-1.242879494,-1.336500021,-1.429083927,-1.520084865,-1.608971286,-1.69523101,-1.778375514,-1.857943857,-1.933506246,-2.004667174,-2.071068125,-2.132389819,-2.188353989,-2.238724682,-2.283309087,-2.321957895,-2.354565213,-2.381068043,-2.401445353
-0.005546788,-0.032469126,-0.065876123,-0.106372288,-0.154469531,-0.210558565,-0.274881605,-0.347507647,-0.428311662,-0.516958949,-0.612895808,-0.715347461,-0.823323947,-0.935634376,-1.05090958,-1.16763285,-1.284178028,-1.398853865,-1.509953207,-1.615805278,-1.714829084,-1.805585832,-1.886828206,-1.957544368,-2.016994732,-2.064739789,-2.100657602,-2.124950008,-2.13813702,-2.141039449,-2.13475024,-2.120595542,-2.100086976,-2.074866952,-2.046649195,-2.017156859,-1.988060685,-1.960919679,-1.937126633,-1.917860594,-1.904048067,-1.896334342,-1.895065868,-1.900284135,-1.911731027,-1.928865116,-1.950887954,-1.976779026,-2.005337712
0.022686047,0.02838216,0.032388075,0.034592603,0.034886197,0.033161409,0.029313353,0.023240173,0.014843505,0.004028947,-0.009293478,-0.025208867,-0.043796983,-0.065131819,-0.089281167,-0.116306206,-0.146261104,-0.179192641,-0.215139851,-0.25413369,-0.296196725,-0.341342854,-0.389577056,-0.440895163,-0.495283678,-0.552719615,-0.613170379,-0.676593684,-0.742937504,-0.812140067,-0.884129882,-0.958825811,-1.036137177,-1.115963913,-1.198196747,-1.282717435,-1.369399019,-1.458106137,-1.548695359,-1.641015563,-1.734908349,-1.830208477,-1.926744344,-2.024338488,-2.122808117,-2.221965666,-2.321619374,-2.421573886,-2.521630865
0.003552817,-0.007684774,-0.016385625,-0.022283052,-0.025157451,-0.024844971,-0.021245652,-0.014330842,-0.004149649,0.009165752,0.025396159,0.044232896,0.065277024,0.088040321,0.111948125,0.136344058,0.160496658,0.183607861,0.204823263,0.223244013,0.237940198,0.247965481,0.252372769,0.250230624,0.240640121,0.222751831,0.195782589,0.15903172,0.111896379,0.053885679,-0.015366693,-0.096091666,-0.188376014,-0.292155848,-0.407212537,-0.533171166,-0.669501611,-0.815522235,-0.970406171,-1.133190106,-1.302785399,-1.477991373,-1.657510521,-1.839965359,-2.023916631,-2.207882515,-2.390358508,-2.569837601,-2.744830414
0.141744192,0.129614711,0.115076348,0.098082037,0.07858961,0.056561997,0.031967412,0.004779533,-0.025022347,-0.057453165,-0.092521963,-0.130231774,-0.170579524,-0.213555954,-0.259145556,-0.307326531,-0.358070765,-0.41134382,-0.467104948,-0.525307123,-0.585897093,-0.648815446,-0.713996704,-0.781369428,-0.850856344,-0.922374491,-0.99583538,-1.071145179,-1.148204905,-1.226910643,-1.307153773,-1.388821214,-1.471795687,-1.555955983,-1.641177251,-1.727331297,-1.814286888,-1.901910072,-1.990064505,-2.078611785,-2.167411791,-2.256323034,-2.345203001,-2.433908515,-2.52229609,-2.610222284,-2.69754406,-2.784119137,-2.869806348
-0.034463714,-0.026823549,-0.013771375,0.004782311,0.028767479,0.057944153,0.091896685,0.130033217,0.171590613,0.215644972,0.261127643,0.306846424,0.351511464,0.393765168,0.432215261,0.465470019,0.492174589,0.511047248,0.520914458,0.520743584,0.509672241,0.487033332,0.452375007,0.405474942,0.346348546,0.275250904,0.192672495,0.099328916,-0.003854966,-0.115765818,-0.235126882,-0.360526394,-0.490448472,-0.623305519,-0.757471192,-0.891313036,-1.023223914,-1.151651508,-1.275125225,-1.392280004,-1.501876623,-1.602818262,-1.694163196,-1.775133595,-1.845120552,-1.903685515,-1.950558394,-1.985632665,-2.008957844
0.019764689,0.01731878,0.015226255,0.013450091,0.011933876,0.010600663,0.009352016,0.008067284,0.006603112,0.004793218,0.00244845,-0.000642856,-0.004714218,-0.010020027,-0.016834256,-0.025448839,-0.036171745,-0.049324744,-0.065240878,-0.084261662,-0.10673403,-0.133007055,-0.163428474,-0.198341049,-0.238078803,-0.282963166,-0.333299082,-0.389371112,-0.451439578,-0.519736805,-0.594463492,-0.675785267,-0.763829468,-0.858682192,-0.960385651,-1.068935881,-1.184280821,-1.306318806,-1.434897507,-1.569813305,-1.710811164,-1.857584965,-2.009778345,-2.166986012,-2.328755547,-2.494589675,-2.663948987,-2.836255086,-3.010894142
